name	type	units	low_cutoff	high_cutoff	sampling_frequency
A1	SEEG	muV	n/a	n/a	499.998305084746
A2	SEEG	muV	n/a	n/a	499.998305084746
A3	SEEG	muV	n/a	n/a	499.998305084746
A4	SEEG	muV	n/a	n/a	499.998305084746
A5	SEEG	muV	n/a	n/a	499.998305084746
A6	SEEG	muV	n/a	n/a	499.998305084746
A7	SEEG	muV	n/a	n/a	499.998305084746
A8	SEEG	muV	n/a	n/a	499.998305084746
A9	SEEG	muV	n/a	n/a	499.998305084746
A10	SEEG	muV	n/a	n/a	499.998305084746
A11	SEEG	muV	n/a	n/a	499.998305084746
A12	SEEG	muV	n/a	n/a	499.998305084746
J1	SEEG	muV	n/a	n/a	499.998305084746
J2	SEEG	muV	n/a	n/a	499.998305084746
J3	SEEG	muV	n/a	n/a	499.998305084746
J4	SEEG	muV	n/a	n/a	499.998305084746
J5	SEEG	muV	n/a	n/a	499.998305084746
J6	SEEG	muV	n/a	n/a	499.998305084746
J7	SEEG	muV	n/a	n/a	499.998305084746
J8	SEEG	muV	n/a	n/a	499.998305084746
J9	SEEG	muV	n/a	n/a	499.998305084746
J10	SEEG	muV	n/a	n/a	499.998305084746
B1	SEEG	muV	n/a	n/a	499.998305084746
B2	SEEG	muV	n/a	n/a	499.998305084746
B3	SEEG	muV	n/a	n/a	499.998305084746
B4	SEEG	muV	n/a	n/a	499.998305084746
B5	SEEG	muV	n/a	n/a	499.998305084746
B6	SEEG	muV	n/a	n/a	499.998305084746
B7	SEEG	muV	n/a	n/a	499.998305084746
B8	SEEG	muV	n/a	n/a	499.998305084746
B9	SEEG	muV	n/a	n/a	499.998305084746
B10	SEEG	muV	n/a	n/a	499.998305084746
B11	SEEG	muV	n/a	n/a	499.998305084746
B12	SEEG	muV	n/a	n/a	499.998305084746
C1	SEEG	muV	n/a	n/a	499.998305084746
C2	SEEG	muV	n/a	n/a	499.998305084746
C3	SEEG	muV	n/a	n/a	499.998305084746
C4	SEEG	muV	n/a	n/a	499.998305084746
C5	SEEG	muV	n/a	n/a	499.998305084746
C6	SEEG	muV	n/a	n/a	499.998305084746
C7	SEEG	muV	n/a	n/a	499.998305084746
C8	SEEG	muV	n/a	n/a	499.998305084746
C9	SEEG	muV	n/a	n/a	499.998305084746
C10	SEEG	muV	n/a	n/a	499.998305084746
C11	SEEG	muV	n/a	n/a	499.998305084746
C12	SEEG	muV	n/a	n/a	499.998305084746
D1	SEEG	muV	n/a	n/a	499.998305084746
D2	SEEG	muV	n/a	n/a	499.998305084746
D3	SEEG	muV	n/a	n/a	499.998305084746
D4	SEEG	muV	n/a	n/a	499.998305084746
D5	SEEG	muV	n/a	n/a	499.998305084746
D6	SEEG	muV	n/a	n/a	499.998305084746
D7	SEEG	muV	n/a	n/a	499.998305084746
D8	SEEG	muV	n/a	n/a	499.998305084746
D9	SEEG	muV	n/a	n/a	499.998305084746
D10	SEEG	muV	n/a	n/a	499.998305084746
D11	SEEG	muV	n/a	n/a	499.998305084746
D12	SEEG	muV	n/a	n/a	499.998305084746
T1	SEEG	muV	n/a	n/a	499.998305084746
T2	SEEG	muV	n/a	n/a	499.998305084746
T3	SEEG	muV	n/a	n/a	499.998305084746
T4	SEEG	muV	n/a	n/a	499.998305084746
T5	SEEG	muV	n/a	n/a	499.998305084746
T6	SEEG	muV	n/a	n/a	499.998305084746
T7	SEEG	muV	n/a	n/a	499.998305084746
T8	SEEG	muV	n/a	n/a	499.998305084746
T9	SEEG	muV	n/a	n/a	499.998305084746
T10	SEEG	muV	n/a	n/a	499.998305084746
O1	SEEG	muV	n/a	n/a	499.998305084746
O2	SEEG	muV	n/a	n/a	499.998305084746
O3	SEEG	muV	n/a	n/a	499.998305084746
O4	SEEG	muV	n/a	n/a	499.998305084746
O5	SEEG	muV	n/a	n/a	499.998305084746
O6	SEEG	muV	n/a	n/a	499.998305084746
O7	SEEG	muV	n/a	n/a	499.998305084746
O8	SEEG	muV	n/a	n/a	499.998305084746
O9	SEEG	muV	n/a	n/a	499.998305084746
O10	SEEG	muV	n/a	n/a	499.998305084746
O11	SEEG	muV	n/a	n/a	499.998305084746
O12	SEEG	muV	n/a	n/a	499.998305084746
O13	SEEG	muV	n/a	n/a	499.998305084746
O14	SEEG	muV	n/a	n/a	499.998305084746
O15	SEEG	muV	n/a	n/a	499.998305084746
AC1	SEEG	muV	n/a	n/a	499.998305084746
AC2	SEEG	muV	n/a	n/a	499.998305084746
AC3	SEEG	muV	n/a	n/a	499.998305084746
AC4	SEEG	muV	n/a	n/a	499.998305084746
AC5	SEEG	muV	n/a	n/a	499.998305084746
AC6	SEEG	muV	n/a	n/a	499.998305084746
AC7	SEEG	muV	n/a	n/a	499.998305084746
AC8	SEEG	muV	n/a	n/a	499.998305084746
AC9	SEEG	muV	n/a	n/a	499.998305084746
AC10	SEEG	muV	n/a	n/a	499.998305084746
AC11	SEEG	muV	n/a	n/a	499.998305084746
AC12	SEEG	muV	n/a	n/a	499.998305084746
AC13	SEEG	muV	n/a	n/a	499.998305084746
AC14	SEEG	muV	n/a	n/a	499.998305084746
AC15	SEEG	muV	n/a	n/a	499.998305084746
AC16	SEEG	muV	n/a	n/a	499.998305084746
AC17	SEEG	muV	n/a	n/a	499.998305084746
AC18	SEEG	muV	n/a	n/a	499.998305084746
X1	SEEG	muV	n/a	n/a	499.998305084746
X2	SEEG	muV	n/a	n/a	499.998305084746
X3	SEEG	muV	n/a	n/a	499.998305084746
X4	SEEG	muV	n/a	n/a	499.998305084746
X5	SEEG	muV	n/a	n/a	499.998305084746
X6	SEEG	muV	n/a	n/a	499.998305084746
X7	SEEG	muV	n/a	n/a	499.998305084746
X8	SEEG	muV	n/a	n/a	499.998305084746
X9	SEEG	muV	n/a	n/a	499.998305084746
X10	SEEG	muV	n/a	n/a	499.998305084746
X11	SEEG	muV	n/a	n/a	499.998305084746
X12	SEEG	muV	n/a	n/a	499.998305084746
X13	SEEG	muV	n/a	n/a	499.998305084746
X14	SEEG	muV	n/a	n/a	499.998305084746
X15	SEEG	muV	n/a	n/a	499.998305084746
X16	SEEG	muV	n/a	n/a	499.998305084746
X17	SEEG	muV	n/a	n/a	499.998305084746
X18	SEEG	muV	n/a	n/a	499.998305084746
A'1	SEEG	muV	n/a	n/a	499.998305084746
A'2	SEEG	muV	n/a	n/a	499.998305084746
A'3	SEEG	muV	n/a	n/a	499.998305084746
A'4	SEEG	muV	n/a	n/a	499.998305084746
A'5	SEEG	muV	n/a	n/a	499.998305084746
A'6	SEEG	muV	n/a	n/a	499.998305084746
A'7	SEEG	muV	n/a	n/a	499.998305084746
A'8	SEEG	muV	n/a	n/a	499.998305084746
A'9	SEEG	muV	n/a	n/a	499.998305084746
A'10	SEEG	muV	n/a	n/a	499.998305084746
A'11	SEEG	muV	n/a	n/a	499.998305084746
A'12	SEEG	muV	n/a	n/a	499.998305084746
A'13	SEEG	muV	n/a	n/a	499.998305084746
A'14	SEEG	muV	n/a	n/a	499.998305084746
A'15	SEEG	muV	n/a	n/a	499.998305084746
C'1	SEEG	muV	n/a	n/a	499.998305084746
C'2	SEEG	muV	n/a	n/a	499.998305084746
C'3	SEEG	muV	n/a	n/a	499.998305084746
C'4	SEEG	muV	n/a	n/a	499.998305084746
C'5	SEEG	muV	n/a	n/a	499.998305084746
C'6	SEEG	muV	n/a	n/a	499.998305084746
C'7	SEEG	muV	n/a	n/a	499.998305084746
C'8	SEEG	muV	n/a	n/a	499.998305084746
C'9	SEEG	muV	n/a	n/a	499.998305084746
C'10	SEEG	muV	n/a	n/a	499.998305084746
C'11	SEEG	muV	n/a	n/a	499.998305084746
C'12	SEEG	muV	n/a	n/a	499.998305084746
D'1	SEEG	muV	n/a	n/a	499.998305084746
D'2	SEEG	muV	n/a	n/a	499.998305084746
D'3	SEEG	muV	n/a	n/a	499.998305084746
D'4	SEEG	muV	n/a	n/a	499.998305084746
D'5	SEEG	muV	n/a	n/a	499.998305084746
D'6	SEEG	muV	n/a	n/a	499.998305084746
