name	type	units	low_cutoff	high_cutoff	sampling_frequency
F1	SEEG	muV	n/a	n/a	499.666666666667
F2	SEEG	muV	n/a	n/a	499.666666666667
F3	SEEG	muV	n/a	n/a	499.666666666667
F4	SEEG	muV	n/a	n/a	499.666666666667
F5	SEEG	muV	n/a	n/a	499.666666666667
F6	SEEG	muV	n/a	n/a	499.666666666667
F7	SEEG	muV	n/a	n/a	499.666666666667
F8	SEEG	muV	n/a	n/a	499.666666666667
F9	SEEG	muV	n/a	n/a	499.666666666667
F10	SEEG	muV	n/a	n/a	499.666666666667
F11	SEEG	muV	n/a	n/a	499.666666666667
F12	SEEG	muV	n/a	n/a	499.666666666667
R1	SEEG	muV	n/a	n/a	499.666666666667
R2	SEEG	muV	n/a	n/a	499.666666666667
R3	SEEG	muV	n/a	n/a	499.666666666667
R4	SEEG	muV	n/a	n/a	499.666666666667
R5	SEEG	muV	n/a	n/a	499.666666666667
R6	SEEG	muV	n/a	n/a	499.666666666667
R7	SEEG	muV	n/a	n/a	499.666666666667
R8	SEEG	muV	n/a	n/a	499.666666666667
R9	SEEG	muV	n/a	n/a	499.666666666667
R10	SEEG	muV	n/a	n/a	499.666666666667
Q1	SEEG	muV	n/a	n/a	499.666666666667
Q2	SEEG	muV	n/a	n/a	499.666666666667
Q3	SEEG	muV	n/a	n/a	499.666666666667
Q4	SEEG	muV	n/a	n/a	499.666666666667
Q5	SEEG	muV	n/a	n/a	499.666666666667
Q6	SEEG	muV	n/a	n/a	499.666666666667
Q7	SEEG	muV	n/a	n/a	499.666666666667
Q8	SEEG	muV	n/a	n/a	499.666666666667
Q9	SEEG	muV	n/a	n/a	499.666666666667
Q10	SEEG	muV	n/a	n/a	499.666666666667
Q11	SEEG	muV	n/a	n/a	499.666666666667
Q12	SEEG	muV	n/a	n/a	499.666666666667
O1	SEEG	muV	n/a	n/a	499.666666666667
O2	SEEG	muV	n/a	n/a	499.666666666667
O3	SEEG	muV	n/a	n/a	499.666666666667
O4	SEEG	muV	n/a	n/a	499.666666666667
O5	SEEG	muV	n/a	n/a	499.666666666667
O6	SEEG	muV	n/a	n/a	499.666666666667
O7	SEEG	muV	n/a	n/a	499.666666666667
O8	SEEG	muV	n/a	n/a	499.666666666667
O9	SEEG	muV	n/a	n/a	499.666666666667
O10	SEEG	muV	n/a	n/a	499.666666666667
O11	SEEG	muV	n/a	n/a	499.666666666667
O12	SEEG	muV	n/a	n/a	499.666666666667
AC1	SEEG	muV	n/a	n/a	499.666666666667
AC2	SEEG	muV	n/a	n/a	499.666666666667
AC3	SEEG	muV	n/a	n/a	499.666666666667
AC4	SEEG	muV	n/a	n/a	499.666666666667
AC5	SEEG	muV	n/a	n/a	499.666666666667
AC6	SEEG	muV	n/a	n/a	499.666666666667
AC7	SEEG	muV	n/a	n/a	499.666666666667
AC8	SEEG	muV	n/a	n/a	499.666666666667
AC9	SEEG	muV	n/a	n/a	499.666666666667
AC10	SEEG	muV	n/a	n/a	499.666666666667
AC11	SEEG	muV	n/a	n/a	499.666666666667
AC12	SEEG	muV	n/a	n/a	499.666666666667
K1	SEEG	muV	n/a	n/a	499.666666666667
K2	SEEG	muV	n/a	n/a	499.666666666667
K3	SEEG	muV	n/a	n/a	499.666666666667
K4	SEEG	muV	n/a	n/a	499.666666666667
K5	SEEG	muV	n/a	n/a	499.666666666667
K6	SEEG	muV	n/a	n/a	499.666666666667
K7	SEEG	muV	n/a	n/a	499.666666666667
K8	SEEG	muV	n/a	n/a	499.666666666667
K9	SEEG	muV	n/a	n/a	499.666666666667
K10	SEEG	muV	n/a	n/a	499.666666666667
K11	SEEG	muV	n/a	n/a	499.666666666667
K12	SEEG	muV	n/a	n/a	499.666666666667
D1	SEEG	muV	n/a	n/a	499.666666666667
D2	SEEG	muV	n/a	n/a	499.666666666667
D3	SEEG	muV	n/a	n/a	499.666666666667
D4	SEEG	muV	n/a	n/a	499.666666666667
D5	SEEG	muV	n/a	n/a	499.666666666667
D6	SEEG	muV	n/a	n/a	499.666666666667
D7	SEEG	muV	n/a	n/a	499.666666666667
D8	SEEG	muV	n/a	n/a	499.666666666667
D9	SEEG	muV	n/a	n/a	499.666666666667
D10	SEEG	muV	n/a	n/a	499.666666666667
D11	SEEG	muV	n/a	n/a	499.666666666667
D12	SEEG	muV	n/a	n/a	499.666666666667
L1	SEEG	muV	n/a	n/a	499.666666666667
L2	SEEG	muV	n/a	n/a	499.666666666667
L3	SEEG	muV	n/a	n/a	499.666666666667
L4	SEEG	muV	n/a	n/a	499.666666666667
L5	SEEG	muV	n/a	n/a	499.666666666667
L6	SEEG	muV	n/a	n/a	499.666666666667
L7	SEEG	muV	n/a	n/a	499.666666666667
L8	SEEG	muV	n/a	n/a	499.666666666667
L9	SEEG	muV	n/a	n/a	499.666666666667
L10	SEEG	muV	n/a	n/a	499.666666666667
W1	SEEG	muV	n/a	n/a	499.666666666667
W2	SEEG	muV	n/a	n/a	499.666666666667
W3	SEEG	muV	n/a	n/a	499.666666666667
W4	SEEG	muV	n/a	n/a	499.666666666667
W5	SEEG	muV	n/a	n/a	499.666666666667
W6	SEEG	muV	n/a	n/a	499.666666666667
W7	SEEG	muV	n/a	n/a	499.666666666667
W8	SEEG	muV	n/a	n/a	499.666666666667
W9	SEEG	muV	n/a	n/a	499.666666666667
W10	SEEG	muV	n/a	n/a	499.666666666667
T1	SEEG	muV	n/a	n/a	499.666666666667
T2	SEEG	muV	n/a	n/a	499.666666666667
