name	type	units	low_cutoff	high_cutoff	sampling_frequency
RTP1	SEEG	muV	n/a	n/a	499.997722199444
RTP2	SEEG	muV	n/a	n/a	499.997722199444
RTP3	SEEG	muV	n/a	n/a	499.997722199444
RTP4	SEEG	muV	n/a	n/a	499.997722199444
RTP5	SEEG	muV	n/a	n/a	499.997722199444
RTP6	SEEG	muV	n/a	n/a	499.997722199444
RHH1	SEEG	muV	n/a	n/a	499.997722199444
RHH2	SEEG	muV	n/a	n/a	499.997722199444
RHH3	SEEG	muV	n/a	n/a	499.997722199444
RHH4	SEEG	muV	n/a	n/a	499.997722199444
RHH5	SEEG	muV	n/a	n/a	499.997722199444
RHH6	SEEG	muV	n/a	n/a	499.997722199444
RHH7	SEEG	muV	n/a	n/a	499.997722199444
RHH8	SEEG	muV	n/a	n/a	499.997722199444
RHB1	SEEG	muV	n/a	n/a	499.997722199444
RHB2	SEEG	muV	n/a	n/a	499.997722199444
RHB3	SEEG	muV	n/a	n/a	499.997722199444
RHB4	SEEG	muV	n/a	n/a	499.997722199444
RHB5	SEEG	muV	n/a	n/a	499.997722199444
RHB6	SEEG	muV	n/a	n/a	499.997722199444
RHB7	SEEG	muV	n/a	n/a	499.997722199444
RHB8	SEEG	muV	n/a	n/a	499.997722199444
RHT1	SEEG	muV	n/a	n/a	499.997722199444
RHT2	SEEG	muV	n/a	n/a	499.997722199444
RHT3	SEEG	muV	n/a	n/a	499.997722199444
RHT4	SEEG	muV	n/a	n/a	499.997722199444
RHT5	SEEG	muV	n/a	n/a	499.997722199444
RHT6	SEEG	muV	n/a	n/a	499.997722199444
RHT7	SEEG	muV	n/a	n/a	499.997722199444
RHT8	SEEG	muV	n/a	n/a	499.997722199444
LTP1	SEEG	muV	n/a	n/a	499.997722199444
LTP2	SEEG	muV	n/a	n/a	499.997722199444
LTP3	SEEG	muV	n/a	n/a	499.997722199444
LTP4	SEEG	muV	n/a	n/a	499.997722199444
LTP5	SEEG	muV	n/a	n/a	499.997722199444
LTP6	SEEG	muV	n/a	n/a	499.997722199444
LAMY1	SEEG	muV	n/a	n/a	499.997722199444
LAMY2	SEEG	muV	n/a	n/a	499.997722199444
LAMY3	SEEG	muV	n/a	n/a	499.997722199444
LAMY4	SEEG	muV	n/a	n/a	499.997722199444
LAMY5	SEEG	muV	n/a	n/a	499.997722199444
LAMY6	SEEG	muV	n/a	n/a	499.997722199444
LAMY7	SEEG	muV	n/a	n/a	499.997722199444
LAMY8	SEEG	muV	n/a	n/a	499.997722199444
LHH1	SEEG	muV	n/a	n/a	499.997722199444
LHH2	SEEG	muV	n/a	n/a	499.997722199444
LHH3	SEEG	muV	n/a	n/a	499.997722199444
LHH4	SEEG	muV	n/a	n/a	499.997722199444
LHH5	SEEG	muV	n/a	n/a	499.997722199444
LHH6	SEEG	muV	n/a	n/a	499.997722199444
LHH7	SEEG	muV	n/a	n/a	499.997722199444
LHH8	SEEG	muV	n/a	n/a	499.997722199444
LHB1	SEEG	muV	n/a	n/a	499.997722199444
LHB2	SEEG	muV	n/a	n/a	499.997722199444
LHB3	SEEG	muV	n/a	n/a	499.997722199444
LHB4	SEEG	muV	n/a	n/a	499.997722199444
LHB5	SEEG	muV	n/a	n/a	499.997722199444
LHB6	SEEG	muV	n/a	n/a	499.997722199444
LHB7	SEEG	muV	n/a	n/a	499.997722199444
LHB8	SEEG	muV	n/a	n/a	499.997722199444
LHT1	SEEG	muV	n/a	n/a	499.997722199444
LHT2	SEEG	muV	n/a	n/a	499.997722199444
LHT3	SEEG	muV	n/a	n/a	499.997722199444
LHT4	SEEG	muV	n/a	n/a	499.997722199444
LHT5	SEEG	muV	n/a	n/a	499.997722199444
LHT6	SEEG	muV	n/a	n/a	499.997722199444
LHT7	SEEG	muV	n/a	n/a	499.997722199444
LHT8	SEEG	muV	n/a	n/a	499.997722199444
