name	type	units	low_cutoff	high_cutoff	sampling_frequency
RTP1	SEEG	muV	n/a	n/a	499.666666666667
RTP2	SEEG	muV	n/a	n/a	499.666666666667
RTP3	SEEG	muV	n/a	n/a	499.666666666667
RTP4	SEEG	muV	n/a	n/a	499.666666666667
RTP5	SEEG	muV	n/a	n/a	499.666666666667
RTP6	SEEG	muV	n/a	n/a	499.666666666667
RHH1	SEEG	muV	n/a	n/a	499.666666666667
RHH2	SEEG	muV	n/a	n/a	499.666666666667
RHH3	SEEG	muV	n/a	n/a	499.666666666667
RHH4	SEEG	muV	n/a	n/a	499.666666666667
RHH5	SEEG	muV	n/a	n/a	499.666666666667
RHH6	SEEG	muV	n/a	n/a	499.666666666667
RHH7	SEEG	muV	n/a	n/a	499.666666666667
RHH8	SEEG	muV	n/a	n/a	499.666666666667
RHB1	SEEG	muV	n/a	n/a	499.666666666667
RHB2	SEEG	muV	n/a	n/a	499.666666666667
RHB3	SEEG	muV	n/a	n/a	499.666666666667
RHB4	SEEG	muV	n/a	n/a	499.666666666667
RHB5	SEEG	muV	n/a	n/a	499.666666666667
RHB6	SEEG	muV	n/a	n/a	499.666666666667
RHB7	SEEG	muV	n/a	n/a	499.666666666667
RHB8	SEEG	muV	n/a	n/a	499.666666666667
RHT1	SEEG	muV	n/a	n/a	499.666666666667
RHT2	SEEG	muV	n/a	n/a	499.666666666667
RHT3	SEEG	muV	n/a	n/a	499.666666666667
RHT4	SEEG	muV	n/a	n/a	499.666666666667
RHT5	SEEG	muV	n/a	n/a	499.666666666667
RHT6	SEEG	muV	n/a	n/a	499.666666666667
RHT7	SEEG	muV	n/a	n/a	499.666666666667
RHT8	SEEG	muV	n/a	n/a	499.666666666667
LTP1	SEEG	muV	n/a	n/a	499.666666666667
LTP2	SEEG	muV	n/a	n/a	499.666666666667
LTP3	SEEG	muV	n/a	n/a	499.666666666667
LTP4	SEEG	muV	n/a	n/a	499.666666666667
LTP5	SEEG	muV	n/a	n/a	499.666666666667
LTP6	SEEG	muV	n/a	n/a	499.666666666667
LAMY1	SEEG	muV	n/a	n/a	499.666666666667
LAMY2	SEEG	muV	n/a	n/a	499.666666666667
LAMY3	SEEG	muV	n/a	n/a	499.666666666667
LAMY4	SEEG	muV	n/a	n/a	499.666666666667
LAMY5	SEEG	muV	n/a	n/a	499.666666666667
LAMY6	SEEG	muV	n/a	n/a	499.666666666667
LAMY7	SEEG	muV	n/a	n/a	499.666666666667
LAMY8	SEEG	muV	n/a	n/a	499.666666666667
LHH1	SEEG	muV	n/a	n/a	499.666666666667
LHH2	SEEG	muV	n/a	n/a	499.666666666667
LHH3	SEEG	muV	n/a	n/a	499.666666666667
LHH4	SEEG	muV	n/a	n/a	499.666666666667
LHH5	SEEG	muV	n/a	n/a	499.666666666667
LHH6	SEEG	muV	n/a	n/a	499.666666666667
LHH7	SEEG	muV	n/a	n/a	499.666666666667
LHH8	SEEG	muV	n/a	n/a	499.666666666667
LHB1	SEEG	muV	n/a	n/a	499.666666666667
LHB2	SEEG	muV	n/a	n/a	499.666666666667
LHB3	SEEG	muV	n/a	n/a	499.666666666667
LHB4	SEEG	muV	n/a	n/a	499.666666666667
LHB5	SEEG	muV	n/a	n/a	499.666666666667
LHB6	SEEG	muV	n/a	n/a	499.666666666667
LHB7	SEEG	muV	n/a	n/a	499.666666666667
LHB8	SEEG	muV	n/a	n/a	499.666666666667
LHT1	SEEG	muV	n/a	n/a	499.666666666667
LHT2	SEEG	muV	n/a	n/a	499.666666666667
LHT3	SEEG	muV	n/a	n/a	499.666666666667
LHT4	SEEG	muV	n/a	n/a	499.666666666667
LHT5	SEEG	muV	n/a	n/a	499.666666666667
LHT6	SEEG	muV	n/a	n/a	499.666666666667
LHT7	SEEG	muV	n/a	n/a	499.666666666667
LHT8	SEEG	muV	n/a	n/a	499.666666666667
