name	type	units	low_cutoff	high_cutoff	sampling_frequency
RTP1	SEEG	muV	n/a	n/a	499.998305084746
RTP2	SEEG	muV	n/a	n/a	499.998305084746
RTP3	SEEG	muV	n/a	n/a	499.998305084746
RTP4	SEEG	muV	n/a	n/a	499.998305084746
RTP5	SEEG	muV	n/a	n/a	499.998305084746
RTP6	SEEG	muV	n/a	n/a	499.998305084746
RHH1	SEEG	muV	n/a	n/a	499.998305084746
RHH2	SEEG	muV	n/a	n/a	499.998305084746
RHH3	SEEG	muV	n/a	n/a	499.998305084746
RHH4	SEEG	muV	n/a	n/a	499.998305084746
RHH5	SEEG	muV	n/a	n/a	499.998305084746
RHH6	SEEG	muV	n/a	n/a	499.998305084746
RHH7	SEEG	muV	n/a	n/a	499.998305084746
RHH8	SEEG	muV	n/a	n/a	499.998305084746
RHB1	SEEG	muV	n/a	n/a	499.998305084746
RHB2	SEEG	muV	n/a	n/a	499.998305084746
RHB3	SEEG	muV	n/a	n/a	499.998305084746
RHB4	SEEG	muV	n/a	n/a	499.998305084746
RHB5	SEEG	muV	n/a	n/a	499.998305084746
RHB6	SEEG	muV	n/a	n/a	499.998305084746
RHB7	SEEG	muV	n/a	n/a	499.998305084746
RHB8	SEEG	muV	n/a	n/a	499.998305084746
RHT1	SEEG	muV	n/a	n/a	499.998305084746
RHT2	SEEG	muV	n/a	n/a	499.998305084746
RHT3	SEEG	muV	n/a	n/a	499.998305084746
RHT4	SEEG	muV	n/a	n/a	499.998305084746
RHT5	SEEG	muV	n/a	n/a	499.998305084746
RHT6	SEEG	muV	n/a	n/a	499.998305084746
RHT7	SEEG	muV	n/a	n/a	499.998305084746
RHT8	SEEG	muV	n/a	n/a	499.998305084746
LTP1	SEEG	muV	n/a	n/a	499.998305084746
LTP2	SEEG	muV	n/a	n/a	499.998305084746
LTP3	SEEG	muV	n/a	n/a	499.998305084746
LTP4	SEEG	muV	n/a	n/a	499.998305084746
LTP5	SEEG	muV	n/a	n/a	499.998305084746
LTP6	SEEG	muV	n/a	n/a	499.998305084746
LAMY1	SEEG	muV	n/a	n/a	499.998305084746
LAMY2	SEEG	muV	n/a	n/a	499.998305084746
LAMY3	SEEG	muV	n/a	n/a	499.998305084746
LAMY4	SEEG	muV	n/a	n/a	499.998305084746
LAMY5	SEEG	muV	n/a	n/a	499.998305084746
LAMY6	SEEG	muV	n/a	n/a	499.998305084746
LAMY7	SEEG	muV	n/a	n/a	499.998305084746
LAMY8	SEEG	muV	n/a	n/a	499.998305084746
LHH1	SEEG	muV	n/a	n/a	499.998305084746
LHH2	SEEG	muV	n/a	n/a	499.998305084746
LHH3	SEEG	muV	n/a	n/a	499.998305084746
LHH4	SEEG	muV	n/a	n/a	499.998305084746
LHH5	SEEG	muV	n/a	n/a	499.998305084746
LHH6	SEEG	muV	n/a	n/a	499.998305084746
LHH7	SEEG	muV	n/a	n/a	499.998305084746
LHH8	SEEG	muV	n/a	n/a	499.998305084746
LHB1	SEEG	muV	n/a	n/a	499.998305084746
LHB2	SEEG	muV	n/a	n/a	499.998305084746
LHB3	SEEG	muV	n/a	n/a	499.998305084746
LHB4	SEEG	muV	n/a	n/a	499.998305084746
LHB5	SEEG	muV	n/a	n/a	499.998305084746
LHB6	SEEG	muV	n/a	n/a	499.998305084746
LHB7	SEEG	muV	n/a	n/a	499.998305084746
LHB8	SEEG	muV	n/a	n/a	499.998305084746
LHT1	SEEG	muV	n/a	n/a	499.998305084746
LHT2	SEEG	muV	n/a	n/a	499.998305084746
LHT3	SEEG	muV	n/a	n/a	499.998305084746
LHT4	SEEG	muV	n/a	n/a	499.998305084746
LHT5	SEEG	muV	n/a	n/a	499.998305084746
LHT6	SEEG	muV	n/a	n/a	499.998305084746
LHT7	SEEG	muV	n/a	n/a	499.998305084746
LHT8	SEEG	muV	n/a	n/a	499.998305084746
