name	type	units	low_cutoff	high_cutoff	sampling_frequency
A1	SEEG	muV	n/a	n/a	499.5
A2	SEEG	muV	n/a	n/a	499.5
A3	SEEG	muV	n/a	n/a	499.5
A4	SEEG	muV	n/a	n/a	499.5
A5	SEEG	muV	n/a	n/a	499.5
A6	SEEG	muV	n/a	n/a	499.5
A7	SEEG	muV	n/a	n/a	499.5
A8	SEEG	muV	n/a	n/a	499.5
A9	SEEG	muV	n/a	n/a	499.5
A10	SEEG	muV	n/a	n/a	499.5
A11	SEEG	muV	n/a	n/a	499.5
A12	SEEG	muV	n/a	n/a	499.5
J1	SEEG	muV	n/a	n/a	499.5
J2	SEEG	muV	n/a	n/a	499.5
J3	SEEG	muV	n/a	n/a	499.5
J4	SEEG	muV	n/a	n/a	499.5
J5	SEEG	muV	n/a	n/a	499.5
J6	SEEG	muV	n/a	n/a	499.5
J7	SEEG	muV	n/a	n/a	499.5
J8	SEEG	muV	n/a	n/a	499.5
J9	SEEG	muV	n/a	n/a	499.5
J10	SEEG	muV	n/a	n/a	499.5
B1	SEEG	muV	n/a	n/a	499.5
B2	SEEG	muV	n/a	n/a	499.5
B3	SEEG	muV	n/a	n/a	499.5
B4	SEEG	muV	n/a	n/a	499.5
B5	SEEG	muV	n/a	n/a	499.5
B6	SEEG	muV	n/a	n/a	499.5
B7	SEEG	muV	n/a	n/a	499.5
B8	SEEG	muV	n/a	n/a	499.5
B9	SEEG	muV	n/a	n/a	499.5
B10	SEEG	muV	n/a	n/a	499.5
B11	SEEG	muV	n/a	n/a	499.5
B12	SEEG	muV	n/a	n/a	499.5
C1	SEEG	muV	n/a	n/a	499.5
C2	SEEG	muV	n/a	n/a	499.5
C3	SEEG	muV	n/a	n/a	499.5
C4	SEEG	muV	n/a	n/a	499.5
C5	SEEG	muV	n/a	n/a	499.5
C6	SEEG	muV	n/a	n/a	499.5
C7	SEEG	muV	n/a	n/a	499.5
C8	SEEG	muV	n/a	n/a	499.5
C9	SEEG	muV	n/a	n/a	499.5
C10	SEEG	muV	n/a	n/a	499.5
C11	SEEG	muV	n/a	n/a	499.5
C12	SEEG	muV	n/a	n/a	499.5
D1	SEEG	muV	n/a	n/a	499.5
D2	SEEG	muV	n/a	n/a	499.5
D3	SEEG	muV	n/a	n/a	499.5
D4	SEEG	muV	n/a	n/a	499.5
D5	SEEG	muV	n/a	n/a	499.5
D6	SEEG	muV	n/a	n/a	499.5
D7	SEEG	muV	n/a	n/a	499.5
D8	SEEG	muV	n/a	n/a	499.5
D9	SEEG	muV	n/a	n/a	499.5
D10	SEEG	muV	n/a	n/a	499.5
D11	SEEG	muV	n/a	n/a	499.5
D12	SEEG	muV	n/a	n/a	499.5
T1	SEEG	muV	n/a	n/a	499.5
T2	SEEG	muV	n/a	n/a	499.5
T3	SEEG	muV	n/a	n/a	499.5
T4	SEEG	muV	n/a	n/a	499.5
T5	SEEG	muV	n/a	n/a	499.5
T6	SEEG	muV	n/a	n/a	499.5
T7	SEEG	muV	n/a	n/a	499.5
T8	SEEG	muV	n/a	n/a	499.5
T9	SEEG	muV	n/a	n/a	499.5
T10	SEEG	muV	n/a	n/a	499.5
O1	SEEG	muV	n/a	n/a	499.5
O2	SEEG	muV	n/a	n/a	499.5
O3	SEEG	muV	n/a	n/a	499.5
O4	SEEG	muV	n/a	n/a	499.5
O5	SEEG	muV	n/a	n/a	499.5
O6	SEEG	muV	n/a	n/a	499.5
O7	SEEG	muV	n/a	n/a	499.5
O8	SEEG	muV	n/a	n/a	499.5
O9	SEEG	muV	n/a	n/a	499.5
O10	SEEG	muV	n/a	n/a	499.5
O11	SEEG	muV	n/a	n/a	499.5
O12	SEEG	muV	n/a	n/a	499.5
