name	type	units	low_cutoff	high_cutoff	sampling_frequency
F1	SEEG	muV	n/a	n/a	499.998305084746
F2	SEEG	muV	n/a	n/a	499.998305084746
F3	SEEG	muV	n/a	n/a	499.998305084746
F4	SEEG	muV	n/a	n/a	499.998305084746
F5	SEEG	muV	n/a	n/a	499.998305084746
F6	SEEG	muV	n/a	n/a	499.998305084746
F7	SEEG	muV	n/a	n/a	499.998305084746
F8	SEEG	muV	n/a	n/a	499.998305084746
F9	SEEG	muV	n/a	n/a	499.998305084746
F10	SEEG	muV	n/a	n/a	499.998305084746
F11	SEEG	muV	n/a	n/a	499.998305084746
F12	SEEG	muV	n/a	n/a	499.998305084746
R1	SEEG	muV	n/a	n/a	499.998305084746
R2	SEEG	muV	n/a	n/a	499.998305084746
R3	SEEG	muV	n/a	n/a	499.998305084746
R4	SEEG	muV	n/a	n/a	499.998305084746
R5	SEEG	muV	n/a	n/a	499.998305084746
R6	SEEG	muV	n/a	n/a	499.998305084746
R7	SEEG	muV	n/a	n/a	499.998305084746
R8	SEEG	muV	n/a	n/a	499.998305084746
R9	SEEG	muV	n/a	n/a	499.998305084746
R10	SEEG	muV	n/a	n/a	499.998305084746
Q1	SEEG	muV	n/a	n/a	499.998305084746
Q2	SEEG	muV	n/a	n/a	499.998305084746
Q3	SEEG	muV	n/a	n/a	499.998305084746
Q4	SEEG	muV	n/a	n/a	499.998305084746
Q5	SEEG	muV	n/a	n/a	499.998305084746
Q6	SEEG	muV	n/a	n/a	499.998305084746
Q7	SEEG	muV	n/a	n/a	499.998305084746
Q8	SEEG	muV	n/a	n/a	499.998305084746
Q9	SEEG	muV	n/a	n/a	499.998305084746
Q10	SEEG	muV	n/a	n/a	499.998305084746
Q11	SEEG	muV	n/a	n/a	499.998305084746
Q12	SEEG	muV	n/a	n/a	499.998305084746
O1	SEEG	muV	n/a	n/a	499.998305084746
O2	SEEG	muV	n/a	n/a	499.998305084746
O3	SEEG	muV	n/a	n/a	499.998305084746
O4	SEEG	muV	n/a	n/a	499.998305084746
O5	SEEG	muV	n/a	n/a	499.998305084746
O6	SEEG	muV	n/a	n/a	499.998305084746
O7	SEEG	muV	n/a	n/a	499.998305084746
O8	SEEG	muV	n/a	n/a	499.998305084746
O9	SEEG	muV	n/a	n/a	499.998305084746
O10	SEEG	muV	n/a	n/a	499.998305084746
O11	SEEG	muV	n/a	n/a	499.998305084746
O12	SEEG	muV	n/a	n/a	499.998305084746
AC1	SEEG	muV	n/a	n/a	499.998305084746
AC2	SEEG	muV	n/a	n/a	499.998305084746
AC3	SEEG	muV	n/a	n/a	499.998305084746
AC4	SEEG	muV	n/a	n/a	499.998305084746
AC5	SEEG	muV	n/a	n/a	499.998305084746
AC6	SEEG	muV	n/a	n/a	499.998305084746
AC7	SEEG	muV	n/a	n/a	499.998305084746
AC8	SEEG	muV	n/a	n/a	499.998305084746
AC9	SEEG	muV	n/a	n/a	499.998305084746
AC10	SEEG	muV	n/a	n/a	499.998305084746
AC11	SEEG	muV	n/a	n/a	499.998305084746
AC12	SEEG	muV	n/a	n/a	499.998305084746
K1	SEEG	muV	n/a	n/a	499.998305084746
K2	SEEG	muV	n/a	n/a	499.998305084746
K3	SEEG	muV	n/a	n/a	499.998305084746
K4	SEEG	muV	n/a	n/a	499.998305084746
K5	SEEG	muV	n/a	n/a	499.998305084746
K6	SEEG	muV	n/a	n/a	499.998305084746
K7	SEEG	muV	n/a	n/a	499.998305084746
K8	SEEG	muV	n/a	n/a	499.998305084746
K9	SEEG	muV	n/a	n/a	499.998305084746
K10	SEEG	muV	n/a	n/a	499.998305084746
K11	SEEG	muV	n/a	n/a	499.998305084746
K12	SEEG	muV	n/a	n/a	499.998305084746
D1	SEEG	muV	n/a	n/a	499.998305084746
D2	SEEG	muV	n/a	n/a	499.998305084746
D3	SEEG	muV	n/a	n/a	499.998305084746
D4	SEEG	muV	n/a	n/a	499.998305084746
D5	SEEG	muV	n/a	n/a	499.998305084746
D6	SEEG	muV	n/a	n/a	499.998305084746
D7	SEEG	muV	n/a	n/a	499.998305084746
D8	SEEG	muV	n/a	n/a	499.998305084746
D9	SEEG	muV	n/a	n/a	499.998305084746
D10	SEEG	muV	n/a	n/a	499.998305084746
D11	SEEG	muV	n/a	n/a	499.998305084746
D12	SEEG	muV	n/a	n/a	499.998305084746
L1	SEEG	muV	n/a	n/a	499.998305084746
L2	SEEG	muV	n/a	n/a	499.998305084746
L3	SEEG	muV	n/a	n/a	499.998305084746
L4	SEEG	muV	n/a	n/a	499.998305084746
L5	SEEG	muV	n/a	n/a	499.998305084746
L6	SEEG	muV	n/a	n/a	499.998305084746
L7	SEEG	muV	n/a	n/a	499.998305084746
L8	SEEG	muV	n/a	n/a	499.998305084746
L9	SEEG	muV	n/a	n/a	499.998305084746
L10	SEEG	muV	n/a	n/a	499.998305084746
W1	SEEG	muV	n/a	n/a	499.998305084746
W2	SEEG	muV	n/a	n/a	499.998305084746
W3	SEEG	muV	n/a	n/a	499.998305084746
W4	SEEG	muV	n/a	n/a	499.998305084746
W5	SEEG	muV	n/a	n/a	499.998305084746
W6	SEEG	muV	n/a	n/a	499.998305084746
W7	SEEG	muV	n/a	n/a	499.998305084746
W8	SEEG	muV	n/a	n/a	499.998305084746
W9	SEEG	muV	n/a	n/a	499.998305084746
W10	SEEG	muV	n/a	n/a	499.998305084746
T1	SEEG	muV	n/a	n/a	499.998305084746
T2	SEEG	muV	n/a	n/a	499.998305084746
T3	SEEG	muV	n/a	n/a	499.998305084746
T4	SEEG	muV	n/a	n/a	499.998305084746
T5	SEEG	muV	n/a	n/a	499.998305084746
T6	SEEG	muV	n/a	n/a	499.998305084746
T7	SEEG	muV	n/a	n/a	499.998305084746
T8	SEEG	muV	n/a	n/a	499.998305084746
T9	SEEG	muV	n/a	n/a	499.998305084746
T10	SEEG	muV	n/a	n/a	499.998305084746
T11	SEEG	muV	n/a	n/a	499.998305084746
T12	SEEG	muV	n/a	n/a	499.998305084746
Z1	SEEG	muV	n/a	n/a	499.998305084746
Z2	SEEG	muV	n/a	n/a	499.998305084746
Z3	SEEG	muV	n/a	n/a	499.998305084746
Z4	SEEG	muV	n/a	n/a	499.998305084746
Z5	SEEG	muV	n/a	n/a	499.998305084746
Z6	SEEG	muV	n/a	n/a	499.998305084746
Z7	SEEG	muV	n/a	n/a	499.998305084746
Z8	SEEG	muV	n/a	n/a	499.998305084746
Z9	SEEG	muV	n/a	n/a	499.998305084746
Z10	SEEG	muV	n/a	n/a	499.998305084746
Z11	SEEG	muV	n/a	n/a	499.998305084746
Z12	SEEG	muV	n/a	n/a	499.998305084746
Z13	SEEG	muV	n/a	n/a	499.998305084746
Z14	SEEG	muV	n/a	n/a	499.998305084746
Z15	SEEG	muV	n/a	n/a	499.998305084746
RA1	SEEG	muV	n/a	n/a	499.998305084746
RA2	SEEG	muV	n/a	n/a	499.998305084746
RA3	SEEG	muV	n/a	n/a	499.998305084746
RA4	SEEG	muV	n/a	n/a	499.998305084746
