name	x	y	z	size
F1	-10.7092208862304	34.8187255859375	23.1660690307617	5
F2	-15.8531861203555	36.7420242772877	24.0109584884948	5
F3	-20.4726894307203	38.8109725893326	24.3563508687586	5
F4	-24.2423397619526	39.4803093483874	23.6475019196953	5
F5	-27.1724481020399	39.4070252587988	22.7755651952786	5
F6	-30.3102004941707	39.6728744796857	22.4824519882375	5
F7	-33.4780781977792	40.0041124124911	23.4105649349515	5
F8	-36.6992062255761	40.9547415498244	24.0280555255925	5
F9	-39.9929332086992	41.9249561973109	24.0100541842089	5
F10	-43.7640792491723	43.1594453081917	23.8012653862574	5
F11	-47.7708583456707	44.5688100394419	23.880794526028	5
F12	-51.4475555419922	45.2266998291016	23.6187744140625	5
R1	-12.9763412475586	19.5550842285156	30.2165222167969	5
R2	-17.3153715552588	20.1286081238538	31.5559324224872	5
R3	-21.654835859956	20.5545307919598	32.8060391760452	5
R4	-26.1368176730906	21.0187671905743	33.9754017477141	5
R5	-30.5150635641627	21.4698148689145	35.2934108217087	5
R6	-34.2575081734846	21.8034292671779	37.0084163360071	5
R7	-37.525330648188	22.0826354417609	38.3275013241625	5
R8	-40.6519512083076	22.0319677245526	39.0202963421851	5
R9	-43.614957511073	22.0799604517969	39.6681275768902	5
R10	-46.7632446289062	22.8463592529297	39.8483924865723	5
Q1	-5.43906402587889	36.7032470703125	9.68414306640624	5
Q2	-10.5859003472168	37.2702196340454	10.0380595576904	5
Q3	-15.1645541625068	38.5334067615781	10.2943095470731	5
Q4	-18.9998111088812	40.2433410006274	10.4256571447302	5
Q5	-22.4404170059624	41.6995152674759	10.5450597500496	5
Q6	-25.7918450912283	42.6471993365842	10.7893087127693	5
Q7	-29.1650638865776	43.2470003363983	11.1619494141218	5
Q8	-32.5938823110855	43.7171569674347	11.7887780433105	5
Q9	-36.2850869225503	43.9709727423065	12.6501658495148	5
Q10	-40.734244274856	44.3163925134524	13.0097056530441	5
Q11	-45.4208146541748	44.5544032949463	13.0160862543106	5
