name	type	units	low_cutoff	high_cutoff	sampling_frequency
F1	SEEG	muV	n/a	n/a	499.5
F2	SEEG	muV	n/a	n/a	499.5
F3	SEEG	muV	n/a	n/a	499.5
F4	SEEG	muV	n/a	n/a	499.5
F5	SEEG	muV	n/a	n/a	499.5
F6	SEEG	muV	n/a	n/a	499.5
F7	SEEG	muV	n/a	n/a	499.5
F8	SEEG	muV	n/a	n/a	499.5
F9	SEEG	muV	n/a	n/a	499.5
F10	SEEG	muV	n/a	n/a	499.5
F11	SEEG	muV	n/a	n/a	499.5
F12	SEEG	muV	n/a	n/a	499.5
R1	SEEG	muV	n/a	n/a	499.5
R2	SEEG	muV	n/a	n/a	499.5
R3	SEEG	muV	n/a	n/a	499.5
R4	SEEG	muV	n/a	n/a	499.5
R5	SEEG	muV	n/a	n/a	499.5
R6	SEEG	muV	n/a	n/a	499.5
R7	SEEG	muV	n/a	n/a	499.5
R8	SEEG	muV	n/a	n/a	499.5
R9	SEEG	muV	n/a	n/a	499.5
R10	SEEG	muV	n/a	n/a	499.5
Q1	SEEG	muV	n/a	n/a	499.5
Q2	SEEG	muV	n/a	n/a	499.5
Q3	SEEG	muV	n/a	n/a	499.5
Q4	SEEG	muV	n/a	n/a	499.5
Q5	SEEG	muV	n/a	n/a	499.5
Q6	SEEG	muV	n/a	n/a	499.5
Q7	SEEG	muV	n/a	n/a	499.5
Q8	SEEG	muV	n/a	n/a	499.5
Q9	SEEG	muV	n/a	n/a	499.5
Q10	SEEG	muV	n/a	n/a	499.5
Q11	SEEG	muV	n/a	n/a	499.5
Q12	SEEG	muV	n/a	n/a	499.5
O1	SEEG	muV	n/a	n/a	499.5
O2	SEEG	muV	n/a	n/a	499.5
O3	SEEG	muV	n/a	n/a	499.5
O4	SEEG	muV	n/a	n/a	499.5
O5	SEEG	muV	n/a	n/a	499.5
O6	SEEG	muV	n/a	n/a	499.5
O7	SEEG	muV	n/a	n/a	499.5
O8	SEEG	muV	n/a	n/a	499.5
O9	SEEG	muV	n/a	n/a	499.5
O10	SEEG	muV	n/a	n/a	499.5
O11	SEEG	muV	n/a	n/a	499.5
O12	SEEG	muV	n/a	n/a	499.5
AC1	SEEG	muV	n/a	n/a	499.5
AC2	SEEG	muV	n/a	n/a	499.5
AC3	SEEG	muV	n/a	n/a	499.5
AC4	SEEG	muV	n/a	n/a	499.5
AC5	SEEG	muV	n/a	n/a	499.5
AC6	SEEG	muV	n/a	n/a	499.5
AC7	SEEG	muV	n/a	n/a	499.5
AC8	SEEG	muV	n/a	n/a	499.5
AC9	SEEG	muV	n/a	n/a	499.5
AC10	SEEG	muV	n/a	n/a	499.5
AC11	SEEG	muV	n/a	n/a	499.5
AC12	SEEG	muV	n/a	n/a	499.5
K1	SEEG	muV	n/a	n/a	499.5
K2	SEEG	muV	n/a	n/a	499.5
K3	SEEG	muV	n/a	n/a	499.5
K4	SEEG	muV	n/a	n/a	499.5
K5	SEEG	muV	n/a	n/a	499.5
K6	SEEG	muV	n/a	n/a	499.5
K7	SEEG	muV	n/a	n/a	499.5
K8	SEEG	muV	n/a	n/a	499.5
K9	SEEG	muV	n/a	n/a	499.5
K10	SEEG	muV	n/a	n/a	499.5
K11	SEEG	muV	n/a	n/a	499.5
K12	SEEG	muV	n/a	n/a	499.5
D1	SEEG	muV	n/a	n/a	499.5
D2	SEEG	muV	n/a	n/a	499.5
D3	SEEG	muV	n/a	n/a	499.5
D4	SEEG	muV	n/a	n/a	499.5
D5	SEEG	muV	n/a	n/a	499.5
D6	SEEG	muV	n/a	n/a	499.5
D7	SEEG	muV	n/a	n/a	499.5
D8	SEEG	muV	n/a	n/a	499.5
D9	SEEG	muV	n/a	n/a	499.5
D10	SEEG	muV	n/a	n/a	499.5
D11	SEEG	muV	n/a	n/a	499.5
D12	SEEG	muV	n/a	n/a	499.5
L1	SEEG	muV	n/a	n/a	499.5
L2	SEEG	muV	n/a	n/a	499.5
L3	SEEG	muV	n/a	n/a	499.5
L4	SEEG	muV	n/a	n/a	499.5
L5	SEEG	muV	n/a	n/a	499.5
L6	SEEG	muV	n/a	n/a	499.5
L7	SEEG	muV	n/a	n/a	499.5
L8	SEEG	muV	n/a	n/a	499.5
L9	SEEG	muV	n/a	n/a	499.5
L10	SEEG	muV	n/a	n/a	499.5
W1	SEEG	muV	n/a	n/a	499.5
W2	SEEG	muV	n/a	n/a	499.5
W3	SEEG	muV	n/a	n/a	499.5
W4	SEEG	muV	n/a	n/a	499.5
W5	SEEG	muV	n/a	n/a	499.5
W6	SEEG	muV	n/a	n/a	499.5
W7	SEEG	muV	n/a	n/a	499.5
W8	SEEG	muV	n/a	n/a	499.5
W9	SEEG	muV	n/a	n/a	499.5
W10	SEEG	muV	n/a	n/a	499.5
T1	SEEG	muV	n/a	n/a	499.5
T2	SEEG	muV	n/a	n/a	499.5
T3	SEEG	muV	n/a	n/a	499.5
T4	SEEG	muV	n/a	n/a	499.5
T5	SEEG	muV	n/a	n/a	499.5
T6	SEEG	muV	n/a	n/a	499.5
T7	SEEG	muV	n/a	n/a	499.5
T8	SEEG	muV	n/a	n/a	499.5
T9	SEEG	muV	n/a	n/a	499.5
