name	type	units	low_cutoff	high_cutoff	sampling_frequency
O1	SEEG	muV	n/a	n/a	499.666666666667
O2	SEEG	muV	n/a	n/a	499.666666666667
O3	SEEG	muV	n/a	n/a	499.666666666667
O4	SEEG	muV	n/a	n/a	499.666666666667
O5	SEEG	muV	n/a	n/a	499.666666666667
O6	SEEG	muV	n/a	n/a	499.666666666667
O7	SEEG	muV	n/a	n/a	499.666666666667
O8	SEEG	muV	n/a	n/a	499.666666666667
O9	SEEG	muV	n/a	n/a	499.666666666667
O10	SEEG	muV	n/a	n/a	499.666666666667
O11	SEEG	muV	n/a	n/a	499.666666666667
O12	SEEG	muV	n/a	n/a	499.666666666667
O13	SEEG	muV	n/a	n/a	499.666666666667
O14	SEEG	muV	n/a	n/a	499.666666666667
O15	SEEG	muV	n/a	n/a	499.666666666667
AC1	SEEG	muV	n/a	n/a	499.666666666667
AC2	SEEG	muV	n/a	n/a	499.666666666667
AC3	SEEG	muV	n/a	n/a	499.666666666667
AC4	SEEG	muV	n/a	n/a	499.666666666667
AC5	SEEG	muV	n/a	n/a	499.666666666667
AC6	SEEG	muV	n/a	n/a	499.666666666667
AC7	SEEG	muV	n/a	n/a	499.666666666667
AC8	SEEG	muV	n/a	n/a	499.666666666667
AC9	SEEG	muV	n/a	n/a	499.666666666667
AC10	SEEG	muV	n/a	n/a	499.666666666667
AC11	SEEG	muV	n/a	n/a	499.666666666667
AC12	SEEG	muV	n/a	n/a	499.666666666667
AC13	SEEG	muV	n/a	n/a	499.666666666667
AC14	SEEG	muV	n/a	n/a	499.666666666667
AC15	SEEG	muV	n/a	n/a	499.666666666667
A1	SEEG	muV	n/a	n/a	499.666666666667
A2	SEEG	muV	n/a	n/a	499.666666666667
A3	SEEG	muV	n/a	n/a	499.666666666667
A4	SEEG	muV	n/a	n/a	499.666666666667
A5	SEEG	muV	n/a	n/a	499.666666666667
A6	SEEG	muV	n/a	n/a	499.666666666667
A7	SEEG	muV	n/a	n/a	499.666666666667
A8	SEEG	muV	n/a	n/a	499.666666666667
A9	SEEG	muV	n/a	n/a	499.666666666667
A10	SEEG	muV	n/a	n/a	499.666666666667
A11	SEEG	muV	n/a	n/a	499.666666666667
A12	SEEG	muV	n/a	n/a	499.666666666667
A13	SEEG	muV	n/a	n/a	499.666666666667
A14	SEEG	muV	n/a	n/a	499.666666666667
A15	SEEG	muV	n/a	n/a	499.666666666667
B1	SEEG	muV	n/a	n/a	499.666666666667
B2	SEEG	muV	n/a	n/a	499.666666666667
B3	SEEG	muV	n/a	n/a	499.666666666667
B4	SEEG	muV	n/a	n/a	499.666666666667
B5	SEEG	muV	n/a	n/a	499.666666666667
B6	SEEG	muV	n/a	n/a	499.666666666667
B7	SEEG	muV	n/a	n/a	499.666666666667
B8	SEEG	muV	n/a	n/a	499.666666666667
B9	SEEG	muV	n/a	n/a	499.666666666667
B10	SEEG	muV	n/a	n/a	499.666666666667
B11	SEEG	muV	n/a	n/a	499.666666666667
B12	SEEG	muV	n/a	n/a	499.666666666667
B13	SEEG	muV	n/a	n/a	499.666666666667
B14	SEEG	muV	n/a	n/a	499.666666666667
B15	SEEG	muV	n/a	n/a	499.666666666667
W1	SEEG	muV	n/a	n/a	499.666666666667
W2	SEEG	muV	n/a	n/a	499.666666666667
W3	SEEG	muV	n/a	n/a	499.666666666667
W4	SEEG	muV	n/a	n/a	499.666666666667
W5	SEEG	muV	n/a	n/a	499.666666666667
W6	SEEG	muV	n/a	n/a	499.666666666667
W7	SEEG	muV	n/a	n/a	499.666666666667
W8	SEEG	muV	n/a	n/a	499.666666666667
W9	SEEG	muV	n/a	n/a	499.666666666667
W10	SEEG	muV	n/a	n/a	499.666666666667
W11	SEEG	muV	n/a	n/a	499.666666666667
W12	SEEG	muV	n/a	n/a	499.666666666667
W13	SEEG	muV	n/a	n/a	499.666666666667
W14	SEEG	muV	n/a	n/a	499.666666666667
W15	SEEG	muV	n/a	n/a	499.666666666667
T1	SEEG	muV	n/a	n/a	499.666666666667
T2	SEEG	muV	n/a	n/a	499.666666666667
T3	SEEG	muV	n/a	n/a	499.666666666667
T4	SEEG	muV	n/a	n/a	499.666666666667
T5	SEEG	muV	n/a	n/a	499.666666666667
T6	SEEG	muV	n/a	n/a	499.666666666667
T7	SEEG	muV	n/a	n/a	499.666666666667
T8	SEEG	muV	n/a	n/a	499.666666666667
T9	SEEG	muV	n/a	n/a	499.666666666667
T10	SEEG	muV	n/a	n/a	499.666666666667
T11	SEEG	muV	n/a	n/a	499.666666666667
T12	SEEG	muV	n/a	n/a	499.666666666667
T13	SEEG	muV	n/a	n/a	499.666666666667
T14	SEEG	muV	n/a	n/a	499.666666666667
T15	SEEG	muV	n/a	n/a	499.666666666667
X1	SEEG	muV	n/a	n/a	499.666666666667
X2	SEEG	muV	n/a	n/a	499.666666666667
X3	SEEG	muV	n/a	n/a	499.666666666667
X4	SEEG	muV	n/a	n/a	499.666666666667
X5	SEEG	muV	n/a	n/a	499.666666666667
X6	SEEG	muV	n/a	n/a	499.666666666667
X7	SEEG	muV	n/a	n/a	499.666666666667
X8	SEEG	muV	n/a	n/a	499.666666666667
X9	SEEG	muV	n/a	n/a	499.666666666667
