name	type	units	low_cutoff	high_cutoff	sampling_frequency
O1	SEEG	muV	n/a	n/a	499.666666666667
O2	SEEG	muV	n/a	n/a	499.666666666667
O3	SEEG	muV	n/a	n/a	499.666666666667
O4	SEEG	muV	n/a	n/a	499.666666666667
O5	SEEG	muV	n/a	n/a	499.666666666667
O6	SEEG	muV	n/a	n/a	499.666666666667
O7	SEEG	muV	n/a	n/a	499.666666666667
O8	SEEG	muV	n/a	n/a	499.666666666667
O9	SEEG	muV	n/a	n/a	499.666666666667
O10	SEEG	muV	n/a	n/a	499.666666666667
O11	SEEG	muV	n/a	n/a	499.666666666667
O12	SEEG	muV	n/a	n/a	499.666666666667
O13	SEEG	muV	n/a	n/a	499.666666666667
O14	SEEG	muV	n/a	n/a	499.666666666667
O15	SEEG	muV	n/a	n/a	499.666666666667
F1	SEEG	muV	n/a	n/a	499.666666666667
F2	SEEG	muV	n/a	n/a	499.666666666667
F3	SEEG	muV	n/a	n/a	499.666666666667
F4	SEEG	muV	n/a	n/a	499.666666666667
F5	SEEG	muV	n/a	n/a	499.666666666667
F6	SEEG	muV	n/a	n/a	499.666666666667
F7	SEEG	muV	n/a	n/a	499.666666666667
F8	SEEG	muV	n/a	n/a	499.666666666667
F9	SEEG	muV	n/a	n/a	499.666666666667
F10	SEEG	muV	n/a	n/a	499.666666666667
F11	SEEG	muV	n/a	n/a	499.666666666667
F12	SEEG	muV	n/a	n/a	499.666666666667
B1	SEEG	muV	n/a	n/a	499.666666666667
B2	SEEG	muV	n/a	n/a	499.666666666667
B3	SEEG	muV	n/a	n/a	499.666666666667
B4	SEEG	muV	n/a	n/a	499.666666666667
B5	SEEG	muV	n/a	n/a	499.666666666667
B6	SEEG	muV	n/a	n/a	499.666666666667
B7	SEEG	muV	n/a	n/a	499.666666666667
B8	SEEG	muV	n/a	n/a	499.666666666667
B9	SEEG	muV	n/a	n/a	499.666666666667
B10	SEEG	muV	n/a	n/a	499.666666666667
B11	SEEG	muV	n/a	n/a	499.666666666667
B12	SEEG	muV	n/a	n/a	499.666666666667
B13	SEEG	muV	n/a	n/a	499.666666666667
B14	SEEG	muV	n/a	n/a	499.666666666667
B15	SEEG	muV	n/a	n/a	499.666666666667
AC1	SEEG	muV	n/a	n/a	499.666666666667
AC2	SEEG	muV	n/a	n/a	499.666666666667
AC3	SEEG	muV	n/a	n/a	499.666666666667
AC4	SEEG	muV	n/a	n/a	499.666666666667
AC5	SEEG	muV	n/a	n/a	499.666666666667
AC6	SEEG	muV	n/a	n/a	499.666666666667
AC7	SEEG	muV	n/a	n/a	499.666666666667
AC8	SEEG	muV	n/a	n/a	499.666666666667
AC9	SEEG	muV	n/a	n/a	499.666666666667
AC10	SEEG	muV	n/a	n/a	499.666666666667
AC11	SEEG	muV	n/a	n/a	499.666666666667
AC12	SEEG	muV	n/a	n/a	499.666666666667
AC13	SEEG	muV	n/a	n/a	499.666666666667
AC14	SEEG	muV	n/a	n/a	499.666666666667
AC15	SEEG	muV	n/a	n/a	499.666666666667
A1	SEEG	muV	n/a	n/a	499.666666666667
A2	SEEG	muV	n/a	n/a	499.666666666667
A3	SEEG	muV	n/a	n/a	499.666666666667
A4	SEEG	muV	n/a	n/a	499.666666666667
A5	SEEG	muV	n/a	n/a	499.666666666667
A6	SEEG	muV	n/a	n/a	499.666666666667
A7	SEEG	muV	n/a	n/a	499.666666666667
A8	SEEG	muV	n/a	n/a	499.666666666667
A9	SEEG	muV	n/a	n/a	499.666666666667
A10	SEEG	muV	n/a	n/a	499.666666666667
A11	SEEG	muV	n/a	n/a	499.666666666667
A12	SEEG	muV	n/a	n/a	499.666666666667
D1	SEEG	muV	n/a	n/a	499.666666666667
D2	SEEG	muV	n/a	n/a	499.666666666667
D3	SEEG	muV	n/a	n/a	499.666666666667
D4	SEEG	muV	n/a	n/a	499.666666666667
D5	SEEG	muV	n/a	n/a	499.666666666667
D6	SEEG	muV	n/a	n/a	499.666666666667
D7	SEEG	muV	n/a	n/a	499.666666666667
D8	SEEG	muV	n/a	n/a	499.666666666667
D9	SEEG	muV	n/a	n/a	499.666666666667
D10	SEEG	muV	n/a	n/a	499.666666666667
D11	SEEG	muV	n/a	n/a	499.666666666667
D12	SEEG	muV	n/a	n/a	499.666666666667
J1	SEEG	muV	n/a	n/a	499.666666666667
J2	SEEG	muV	n/a	n/a	499.666666666667
J3	SEEG	muV	n/a	n/a	499.666666666667
J4	SEEG	muV	n/a	n/a	499.666666666667
J5	SEEG	muV	n/a	n/a	499.666666666667
J6	SEEG	muV	n/a	n/a	499.666666666667
J7	SEEG	muV	n/a	n/a	499.666666666667
J8	SEEG	muV	n/a	n/a	499.666666666667
J9	SEEG	muV	n/a	n/a	499.666666666667
J10	SEEG	muV	n/a	n/a	499.666666666667
J11	SEEG	muV	n/a	n/a	499.666666666667
J12	SEEG	muV	n/a	n/a	499.666666666667
S1	SEEG	muV	n/a	n/a	499.666666666667
S2	SEEG	muV	n/a	n/a	499.666666666667
S3	SEEG	muV	n/a	n/a	499.666666666667
S4	SEEG	muV	n/a	n/a	499.666666666667
S5	SEEG	muV	n/a	n/a	499.666666666667
S6	SEEG	muV	n/a	n/a	499.666666666667
