name	type	units	low_cutoff	high_cutoff	sampling_frequency
RATP2	SEEG	muV	n/a	n/a	499.5
RATP3	SEEG	muV	n/a	n/a	499.5
RATP4	SEEG	muV	n/a	n/a	499.5
RATP5	SEEG	muV	n/a	n/a	499.5
RATP6	SEEG	muV	n/a	n/a	499.5
RAMG1	SEEG	muV	n/a	n/a	499.5
RAMG2	SEEG	muV	n/a	n/a	499.5
RAMG3	SEEG	muV	n/a	n/a	499.5
RAMG4	SEEG	muV	n/a	n/a	499.5
RAMG5	SEEG	muV	n/a	n/a	499.5
RAMG6	SEEG	muV	n/a	n/a	499.5
RAMG7	SEEG	muV	n/a	n/a	499.5
RAMG8	SEEG	muV	n/a	n/a	499.5
RHH1	SEEG	muV	n/a	n/a	499.5
RHH2	SEEG	muV	n/a	n/a	499.5
RHH3	SEEG	muV	n/a	n/a	499.5
RHH4	SEEG	muV	n/a	n/a	499.5
RHH5	SEEG	muV	n/a	n/a	499.5
RHH6	SEEG	muV	n/a	n/a	499.5
RHH7	SEEG	muV	n/a	n/a	499.5
RHH8	SEEG	muV	n/a	n/a	499.5
RHB1	SEEG	muV	n/a	n/a	499.5
RHB2	SEEG	muV	n/a	n/a	499.5
RHB3	SEEG	muV	n/a	n/a	499.5
RHB4	SEEG	muV	n/a	n/a	499.5
RHB5	SEEG	muV	n/a	n/a	499.5
RHB6	SEEG	muV	n/a	n/a	499.5
RHB7	SEEG	muV	n/a	n/a	499.5
RHB8	SEEG	muV	n/a	n/a	499.5
RHT1	SEEG	muV	n/a	n/a	499.5
RHT2	SEEG	muV	n/a	n/a	499.5
RHT3	SEEG	muV	n/a	n/a	499.5
RHT4	SEEG	muV	n/a	n/a	499.5
RHT5	SEEG	muV	n/a	n/a	499.5
RHT6	SEEG	muV	n/a	n/a	499.5
RHT7	SEEG	muV	n/a	n/a	499.5
RHT8	SEEG	muV	n/a	n/a	499.5
RFS1	SEEG	muV	n/a	n/a	499.5
RFS2	SEEG	muV	n/a	n/a	499.5
RFS3	SEEG	muV	n/a	n/a	499.5
RFS4	SEEG	muV	n/a	n/a	499.5
RFS5	SEEG	muV	n/a	n/a	499.5
RFS6	SEEG	muV	n/a	n/a	499.5
