name	type	units	low_cutoff	high_cutoff	sampling_frequency
RTP1	SEEG	muV	n/a	n/a	499.5
RTP2	SEEG	muV	n/a	n/a	499.5
RTP3	SEEG	muV	n/a	n/a	499.5
RTP4	SEEG	muV	n/a	n/a	499.5
RTP5	SEEG	muV	n/a	n/a	499.5
RTP6	SEEG	muV	n/a	n/a	499.5
RHH1	SEEG	muV	n/a	n/a	499.5
RHH2	SEEG	muV	n/a	n/a	499.5
RHH3	SEEG	muV	n/a	n/a	499.5
RHH4	SEEG	muV	n/a	n/a	499.5
RHH5	SEEG	muV	n/a	n/a	499.5
RHH6	SEEG	muV	n/a	n/a	499.5
RHH7	SEEG	muV	n/a	n/a	499.5
RHH8	SEEG	muV	n/a	n/a	499.5
RHB1	SEEG	muV	n/a	n/a	499.5
RHB2	SEEG	muV	n/a	n/a	499.5
RHB3	SEEG	muV	n/a	n/a	499.5
RHB4	SEEG	muV	n/a	n/a	499.5
RHB5	SEEG	muV	n/a	n/a	499.5
RHB6	SEEG	muV	n/a	n/a	499.5
RHB7	SEEG	muV	n/a	n/a	499.5
RHB8	SEEG	muV	n/a	n/a	499.5
RHT1	SEEG	muV	n/a	n/a	499.5
RHT2	SEEG	muV	n/a	n/a	499.5
RHT3	SEEG	muV	n/a	n/a	499.5
RHT4	SEEG	muV	n/a	n/a	499.5
RHT5	SEEG	muV	n/a	n/a	499.5
RHT6	SEEG	muV	n/a	n/a	499.5
RHT7	SEEG	muV	n/a	n/a	499.5
RHT8	SEEG	muV	n/a	n/a	499.5
LTP1	SEEG	muV	n/a	n/a	499.5
LTP2	SEEG	muV	n/a	n/a	499.5
LTP3	SEEG	muV	n/a	n/a	499.5
LTP4	SEEG	muV	n/a	n/a	499.5
LTP5	SEEG	muV	n/a	n/a	499.5
LTP6	SEEG	muV	n/a	n/a	499.5
LAMY1	SEEG	muV	n/a	n/a	499.5
LAMY2	SEEG	muV	n/a	n/a	499.5
LAMY3	SEEG	muV	n/a	n/a	499.5
LAMY4	SEEG	muV	n/a	n/a	499.5
LAMY5	SEEG	muV	n/a	n/a	499.5
LAMY6	SEEG	muV	n/a	n/a	499.5
LAMY7	SEEG	muV	n/a	n/a	499.5
LAMY8	SEEG	muV	n/a	n/a	499.5
LHH1	SEEG	muV	n/a	n/a	499.5
LHH2	SEEG	muV	n/a	n/a	499.5
LHH3	SEEG	muV	n/a	n/a	499.5
LHH4	SEEG	muV	n/a	n/a	499.5
LHH5	SEEG	muV	n/a	n/a	499.5
LHH6	SEEG	muV	n/a	n/a	499.5
LHH7	SEEG	muV	n/a	n/a	499.5
LHH8	SEEG	muV	n/a	n/a	499.5
LHB1	SEEG	muV	n/a	n/a	499.5
LHB2	SEEG	muV	n/a	n/a	499.5
LHB3	SEEG	muV	n/a	n/a	499.5
LHB4	SEEG	muV	n/a	n/a	499.5
LHB5	SEEG	muV	n/a	n/a	499.5
LHB6	SEEG	muV	n/a	n/a	499.5
LHB7	SEEG	muV	n/a	n/a	499.5
LHB8	SEEG	muV	n/a	n/a	499.5
LHT1	SEEG	muV	n/a	n/a	499.5
LHT2	SEEG	muV	n/a	n/a	499.5
LHT3	SEEG	muV	n/a	n/a	499.5
LHT4	SEEG	muV	n/a	n/a	499.5
LHT5	SEEG	muV	n/a	n/a	499.5
LHT6	SEEG	muV	n/a	n/a	499.5
LHT7	SEEG	muV	n/a	n/a	499.5
LHT8	SEEG	muV	n/a	n/a	499.5
