name	type	units	low_cutoff	high_cutoff	sampling_frequency
O1	SEEG	muV	n/a	n/a	499.991522262538
O2	SEEG	muV	n/a	n/a	499.991522262538
O3	SEEG	muV	n/a	n/a	499.991522262538
O4	SEEG	muV	n/a	n/a	499.991522262538
O5	SEEG	muV	n/a	n/a	499.991522262538
O6	SEEG	muV	n/a	n/a	499.991522262538
O7	SEEG	muV	n/a	n/a	499.991522262538
O8	SEEG	muV	n/a	n/a	499.991522262538
O9	SEEG	muV	n/a	n/a	499.991522262538
O10	SEEG	muV	n/a	n/a	499.991522262538
O11	SEEG	muV	n/a	n/a	499.991522262538
O12	SEEG	muV	n/a	n/a	499.991522262538
O13	SEEG	muV	n/a	n/a	499.991522262538
O14	SEEG	muV	n/a	n/a	499.991522262538
O15	SEEG	muV	n/a	n/a	499.991522262538
F1	SEEG	muV	n/a	n/a	499.991522262538
F2	SEEG	muV	n/a	n/a	499.991522262538
F3	SEEG	muV	n/a	n/a	499.991522262538
F4	SEEG	muV	n/a	n/a	499.991522262538
F5	SEEG	muV	n/a	n/a	499.991522262538
F6	SEEG	muV	n/a	n/a	499.991522262538
F7	SEEG	muV	n/a	n/a	499.991522262538
F8	SEEG	muV	n/a	n/a	499.991522262538
F9	SEEG	muV	n/a	n/a	499.991522262538
F10	SEEG	muV	n/a	n/a	499.991522262538
F11	SEEG	muV	n/a	n/a	499.991522262538
F12	SEEG	muV	n/a	n/a	499.991522262538
B1	SEEG	muV	n/a	n/a	499.991522262538
B2	SEEG	muV	n/a	n/a	499.991522262538
B3	SEEG	muV	n/a	n/a	499.991522262538
B4	SEEG	muV	n/a	n/a	499.991522262538
B5	SEEG	muV	n/a	n/a	499.991522262538
B6	SEEG	muV	n/a	n/a	499.991522262538
B7	SEEG	muV	n/a	n/a	499.991522262538
B8	SEEG	muV	n/a	n/a	499.991522262538
B9	SEEG	muV	n/a	n/a	499.991522262538
B10	SEEG	muV	n/a	n/a	499.991522262538
B11	SEEG	muV	n/a	n/a	499.991522262538
B12	SEEG	muV	n/a	n/a	499.991522262538
B13	SEEG	muV	n/a	n/a	499.991522262538
B14	SEEG	muV	n/a	n/a	499.991522262538
B15	SEEG	muV	n/a	n/a	499.991522262538
AC1	SEEG	muV	n/a	n/a	499.991522262538
AC2	SEEG	muV	n/a	n/a	499.991522262538
AC3	SEEG	muV	n/a	n/a	499.991522262538
