name	type	units	low_cutoff	high_cutoff	sampling_frequency
RATP2	SEEG	muV	n/a	n/a	499.666666666667
RATP3	SEEG	muV	n/a	n/a	499.666666666667
RATP4	SEEG	muV	n/a	n/a	499.666666666667
RATP5	SEEG	muV	n/a	n/a	499.666666666667
RATP6	SEEG	muV	n/a	n/a	499.666666666667
RAMG1	SEEG	muV	n/a	n/a	499.666666666667
RAMG2	SEEG	muV	n/a	n/a	499.666666666667
RAMG3	SEEG	muV	n/a	n/a	499.666666666667
RAMG4	SEEG	muV	n/a	n/a	499.666666666667
RAMG5	SEEG	muV	n/a	n/a	499.666666666667
RAMG6	SEEG	muV	n/a	n/a	499.666666666667
RAMG7	SEEG	muV	n/a	n/a	499.666666666667
RAMG8	SEEG	muV	n/a	n/a	499.666666666667
RHH1	SEEG	muV	n/a	n/a	499.666666666667
RHH2	SEEG	muV	n/a	n/a	499.666666666667
RHH3	SEEG	muV	n/a	n/a	499.666666666667
RHH4	SEEG	muV	n/a	n/a	499.666666666667
RHH5	SEEG	muV	n/a	n/a	499.666666666667
RHH6	SEEG	muV	n/a	n/a	499.666666666667
RHH7	SEEG	muV	n/a	n/a	499.666666666667
RHH8	SEEG	muV	n/a	n/a	499.666666666667
RHB1	SEEG	muV	n/a	n/a	499.666666666667
RHB2	SEEG	muV	n/a	n/a	499.666666666667
RHB3	SEEG	muV	n/a	n/a	499.666666666667
RHB4	SEEG	muV	n/a	n/a	499.666666666667
RHB5	SEEG	muV	n/a	n/a	499.666666666667
RHB6	SEEG	muV	n/a	n/a	499.666666666667
RHB7	SEEG	muV	n/a	n/a	499.666666666667
RHB8	SEEG	muV	n/a	n/a	499.666666666667
RHT1	SEEG	muV	n/a	n/a	499.666666666667
RHT2	SEEG	muV	n/a	n/a	499.666666666667
RHT3	SEEG	muV	n/a	n/a	499.666666666667
RHT4	SEEG	muV	n/a	n/a	499.666666666667
RHT5	SEEG	muV	n/a	n/a	499.666666666667
RHT6	SEEG	muV	n/a	n/a	499.666666666667
RHT7	SEEG	muV	n/a	n/a	499.666666666667
RHT8	SEEG	muV	n/a	n/a	499.666666666667
RFS1	SEEG	muV	n/a	n/a	499.666666666667
RFS2	SEEG	muV	n/a	n/a	499.666666666667
RFS3	SEEG	muV	n/a	n/a	499.666666666667
RFS4	SEEG	muV	n/a	n/a	499.666666666667
RFS5	SEEG	muV	n/a	n/a	499.666666666667
RFS6	SEEG	muV	n/a	n/a	499.666666666667
