name	type	units	low_cutoff	high_cutoff	sampling_frequency
RATP2	SEEG	muV	n/a	n/a	499.997894550676
RATP3	SEEG	muV	n/a	n/a	499.997894550676
RATP4	SEEG	muV	n/a	n/a	499.997894550676
RATP5	SEEG	muV	n/a	n/a	499.997894550676
RATP6	SEEG	muV	n/a	n/a	499.997894550676
RAMG1	SEEG	muV	n/a	n/a	499.997894550676
RAMG2	SEEG	muV	n/a	n/a	499.997894550676
RAMG3	SEEG	muV	n/a	n/a	499.997894550676
RAMG4	SEEG	muV	n/a	n/a	499.997894550676
RAMG5	SEEG	muV	n/a	n/a	499.997894550676
RAMG6	SEEG	muV	n/a	n/a	499.997894550676
RAMG7	SEEG	muV	n/a	n/a	499.997894550676
RAMG8	SEEG	muV	n/a	n/a	499.997894550676
RHH1	SEEG	muV	n/a	n/a	499.997894550676
RHH2	SEEG	muV	n/a	n/a	499.997894550676
RHH3	SEEG	muV	n/a	n/a	499.997894550676
RHH4	SEEG	muV	n/a	n/a	499.997894550676
RHH5	SEEG	muV	n/a	n/a	499.997894550676
RHH6	SEEG	muV	n/a	n/a	499.997894550676
RHH7	SEEG	muV	n/a	n/a	499.997894550676
RHH8	SEEG	muV	n/a	n/a	499.997894550676
RHB1	SEEG	muV	n/a	n/a	499.997894550676
RHB2	SEEG	muV	n/a	n/a	499.997894550676
RHB3	SEEG	muV	n/a	n/a	499.997894550676
RHB4	SEEG	muV	n/a	n/a	499.997894550676
RHB5	SEEG	muV	n/a	n/a	499.997894550676
RHB6	SEEG	muV	n/a	n/a	499.997894550676
RHB7	SEEG	muV	n/a	n/a	499.997894550676
RHB8	SEEG	muV	n/a	n/a	499.997894550676
RHT1	SEEG	muV	n/a	n/a	499.997894550676
RHT2	SEEG	muV	n/a	n/a	499.997894550676
RHT3	SEEG	muV	n/a	n/a	499.997894550676
RHT4	SEEG	muV	n/a	n/a	499.997894550676
RHT5	SEEG	muV	n/a	n/a	499.997894550676
RHT6	SEEG	muV	n/a	n/a	499.997894550676
RHT7	SEEG	muV	n/a	n/a	499.997894550676
RHT8	SEEG	muV	n/a	n/a	499.997894550676
RFS1	SEEG	muV	n/a	n/a	499.997894550676
RFS2	SEEG	muV	n/a	n/a	499.997894550676
RFS3	SEEG	muV	n/a	n/a	499.997894550676
RFS4	SEEG	muV	n/a	n/a	499.997894550676
RFS5	SEEG	muV	n/a	n/a	499.997894550676
RFS6	SEEG	muV	n/a	n/a	499.997894550676
